title,link,sentiment
"Why Marseille restaurants are offering gourmet food for €1In France's most diverse city, a new wave of restaurants is redefining fine dining by blending haute cuisine with community solidarity.",https://bbc.com/travel/article/20251013-the-french-city-where-you-can-eat-gourmet-food-for-one-euro,"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.4588}"
100 dishes in 40 days: India's epic wedding feast,https://bbc.com/travel/article/20251003-100-dishes-in-40-days-indias-epic-wedding-feast,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
The controversial snack that fuels Norwegian trips,https://bbc.com/travel/article/20250909-kvikk-lunsj-the-controversial-sweet-that-fuels-norwegians,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.2023}"
Is cheese the new reason to travel?,https://bbc.com/travel/article/20250905-is-cheese-the-new-reason-to-travel,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Earth,https://www.bbc.com/future-planet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Why a Dutch nature project led to starving animalsIn 2018, thousands of dead animals lay strewn across a Dutch rewilding project. Was it animal cruelty or just nature taking its course?",https://bbc.com/future/article/20251016-the-dutch-rewilding-project-that-took-a-dark-turn,"{'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.9001}"
Mosquitoes found in Iceland for first time after record heat,https://bbc.com/news/articles/clyz3vv62pgo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Water firms to get automatic fines for sewage spills under new UK government plans,https://bbc.com/news/articles/c4gz7xyr2g7o,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Almond-sized crab and tiny lantern shark discovered in Australia,https://bbc.com/news/articles/cly275d3dvdo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Video,https://www.bbc.com/video,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Watch an incredible Lusotitan dinosaur mating ritualIn the prehistoric world, first impressions mattered, and sometimes a few moves could make all the difference.",https://bbc.com/reel/video/p0m9trt9/watch-an-incredible-lusotitan-mating-ritual,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}"
The quirky hen-racing championship in the UK's Peak District,https://bbc.com/reel/video/p0m8wqsj/the-quirky-hen-racing-championship-in-the-uk-s-peak-district,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}"
Is Wall Street’s optimism setting up another crash?,https://bbc.com/reel/video/p0m9b37d/is-wall-street-s-optimism-setting-up-another-crash-,"{'neg': 0.221, 'neu': 0.492, 'pos': 0.287, 'compound': 0.2023}"
The race to unlock nature’s hidden secrets,https://bbc.com/reel/video/p0m8b80y/the-race-to-unlock-nature-s-hidden-secrets,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Sign up to Tech DecodedDecode the biggest developments in global technology, in your inbox every Monday and Friday.",https://cloud.email.bbc.com/techdecoded-newsletter-signup?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=techdecoded&at_campaign_type=owned,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Download the BBC appClick here to download the BBC app for Apple and Android devices.,https://www.bbc.com/pages/download-the-bbc-app,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"US Politics UnspunNo noise. No agenda. Just expert analysis of the issues that matter most from Anthony Zurcher, every Wednesday.",https://cloud.email.bbc.com/US_Politics_Unspun_Newsletter_Signup?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=uselectionunspun&at_campaign_type=owned,"{'neg': 0.103, 'neu': 0.845, 'pos': 0.052, 'compound': -0.2732}"
Register for a BBC accountDon't have time to read everything right now? Your BBC account lets you save articles and videos for later.,https://account.bbc.com/auth/register/email?ab=o13&action=register&clientId=Account&context=international&isCasso=false&nonce=ZhRJnl8N-Nzg4mlepfcUAP3WaQY2IhgqHUUw&ptrt=https%3A%2F%2Fwww.bbc.com%2F&realm=%2F&redirectUri=https%3A%2F%2Fsession.bbc.com%2Fsession%2Fcallback%3Frealm%3D%2F&sequenceId=afd616da-9f13-432d-a54d-95c9f32d1f0b&service=IdRegisterService&userOrigin=BBCS_BBC,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4939}"
"Sign up for the Essential ListThe week's best stories, handpicked by BBC editors, in your inbox every Tuesday and Friday.",https://cloud.email.bbc.com/TheEssentialList_Newsletter_Signup?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=essentiallist&at_campaign_type=owned,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6369}"
